Batch,Loss,Accuracy
549,0.0850808,0.647308
550,0.0846189,0.647645
551,0.092306,0.648002
552,0.0938659,0.648355
553,0.0682506,0.648689
554,0.0774719,0.648746
555,0.0854726,0.649098
556,0.0807731,0.649475
557,0.0923077,0.649834
558,0.0945649,0.650141
559,0.103133,0.650501
560,0.115503,0.650835
561,0.100987,0.651165
562,0.0895892,0.651536
563,0.102126,0.651873
564,0.0968987,0.652202
565,0.100936,0.652529
566,0.100589,0.652872
567,0.0659636,0.653252
568,0.0761766,0.653633
569,0.0977433,0.653979
570,0.0904645,0.654293
571,0.081925,0.654666
572,0.098064,0.655006
573,0.0699746,0.655301
574,0.111205,0.655663
575,0.0932783,0.655973
576,0.0883855,0.656315
577,0.0787842,0.656642
578,0.069139,0.657011
579,0.0660531,0.657345
580,0.0793602,0.657691
581,0.0964327,0.658048
582,0.0877748,0.658402
583,0.096768,0.658726
584,0.097962,0.659072
585,0.0840503,0.65941
586,0.0792444,0.659764
587,0.0855969,0.660067
588,0.0801938,0.660421
589,0.110042,0.660724
590,0.0681491,0.661054
591,0.108233,0.66109
592,0.0654006,0.661483
593,0.0800359,0.661811
594,0.0897609,0.66212
595,0.0976507,0.662431
596,0.0829303,0.662763
597,0.0959428,0.66312
598,0.067723,0.663414
599,0.0798756,0.663736
600,0.0979572,0.664088
601,0.0742714,0.664411
602,0.0637059,0.664701
603,0.0662867,0.665012
604,0.0608086,0.665303
605,0.0969251,0.665599
606,0.0778756,0.665915
607,0.0953247,0.666278
608,0.0739297,0.666615
609,0.0742445,0.666926
610,0.0793649,0.667198
611,0.084054,0.667501
612,0.0690113,0.667807
613,0.062212,0.668103
614,0.0920169,0.668422
615,0.082177,0.668752
616,0.0714852,0.669102
617,0.0617698,0.669424
618,0.089248,0.669695
619,0.105023,0.670047
620,0.086163,0.67038
621,0.0631793,0.670729
622,0.0798624,0.671
623,0.107813,0.671286
624,0.0619215,0.671579
625,0.0781604,0.671878
626,0.0747416,0.672189
627,0.0689181,0.672481
628,0.0443215,0.672519
629,0.0813514,0.672828
630,0.075983,0.673112
631,0.0832897,0.673386
632,0.0623955,0.673663
633,0.0745005,0.674
634,0.0673529,0.674303
635,0.0876108,0.674607
636,0.0609805,0.674941
637,0.0765062,0.675248
638,0.102128,0.675586
639,0.0757143,0.675903
640,0.0713054,0.676172
641,0.0585114,0.676431
642,0.059853,0.676768
643,0.0722223,0.67709
644,0.0639474,0.677398
645,0.0764948,0.677702
646,0.0745513,0.678019
647,0.0593658,0.678318
648,0.0772325,0.678571
649,0.066918,0.678887
650,0.0536647,0.679169
651,0.0745089,0.679463
652,0.079223,0.679737
653,0.0818784,0.679977
654,0.0543767,0.68025
655,0.0724327,0.680518
656,0.0792889,0.680786
657,0.0646166,0.681093
658,0.0862842,0.681379
659,0.0944617,0.681672
660,0.076112,0.681966
661,0.063316,0.682263
662,0.0769952,0.682545
663,0.064659,0.682827
664,0.0735123,0.683098
665,0.0726105,0.68313
666,0.0715449,0.683426
667,0.0595398,0.683713
668,0.0809079,0.683992
669,0.0700134,0.684252
670,0.0822459,0.684528
671,0.0728259,0.684799
672,0.0654945,0.685037
673,0.0850192,0.685323
674,0.0944036,0.685631
675,0.0693977,0.685937
676,0.0793793,0.686196
677,0.0672197,0.686458
678,0.0624269,0.686711
679,0.0752722,0.687015
680,0.0560732,0.687298
681,0.0690658,0.687565
682,0.0665384,0.687848
683,0.0792841,0.68814
684,0.0605759,0.688405
685,0.0658235,0.68869
686,0.0733188,0.688976
687,0.0588608,0.689212
688,0.0586149,0.689496
689,0.0582489,0.689748
690,0.0769409,0.690021
691,0.0709213,0.690311
692,0.0677714,0.690569
693,0.0708939,0.690845
694,0.0558066,0.691102
695,0.0702072,0.691363
696,0.0603694,0.69164
697,0.0752705,0.691914
698,0.0663557,0.692138
699,0.0604899,0.692408
700,0.0611968,0.692674
701,0.0814185,0.692916
702,0.0548718,0.692947
703,0.0668403,0.693229
704,0.0637745,0.69348
705,0.0583899,0.693746
706,0.0779912,0.69399
707,0.071712,0.694243
708,0.0614165,0.6945
709,0.0705801,0.694755
710,0.0904537,0.695038
711,0.0753902,0.695292
712,0.0804432,0.695586
713,0.06593,0.695829
714,0.0761735,0.696095
715,0.0677661,0.696359
716,0.0674294,0.696605
717,0.0603868,0.696889
718,0.0716533,0.697151
719,0.0702591,0.697396
720,0.0634177,0.697675
721,0.0685358,0.697906
722,0.0685646,0.698156
723,0.0715678,0.698384
724,0.0501257,0.698635
725,0.0726802,0.698875
726,0.0777329,0.699129
727,0.0793465,0.699376
728,0.062537,0.69962
729,0.0618207,0.699868
730,0.0555868,0.700112
731,0.0577485,0.700349
732,0.0662953,0.700579
733,0.0571579,0.70087
734,0.0523566,0.701082
735,0.0552186,0.70134
736,0.0557773,0.701587
737,0.0643444,0.701817
738,0.0573604,0.702069
739,0.0423315,0.7021
740,0.0447368,0.702314
741,0.0533703,0.702566
742,0.066239,0.702807
743,0.0803753,0.703078
744,0.0735502,0.703321
745,0.059042,0.703534
746,0.0646479,0.703789
747,0.0719416,0.70404
748,0.0558701,0.704306
749,0.0793428,0.704523
750,0.0556226,0.704769
751,0.0520154,0.70499
752,0.0428909,0.705205
753,0.0510899,0.70543
754,0.0573274,0.705645
755,0.0677662,0.705909
756,0.0710024,0.70613
757,0.0729081,0.706385
758,0.0686501,0.706642
